Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP,Condition,Trim,Location,Origin,Horsepower,Color,Source,Source_URL,Source_ID,Collected_At
Proton,Gen-2,380000,2007,Natural Gas,Automatic,1600,Sedan,"EGP 275,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1023,
Renault,Logan,80000,2016,Benzine,Manual,1600,Sedan,"EGP 300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1024,
Opel,Mokka,5000,2024,Benzine,Automatic,1200,SUV,"EGP 1,250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1025,
Chevrolet,Lanos,285000,2011,Benzine,Manual,,,"EGP 250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1026,
MG,MG 5,70000,2021,Benzine,Automatic,1600,Sedan,"EGP 690,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1027,
Kia,Sportage,100000,2021,Benzine,Automatic,1600,SUV,"EGP 1,310,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1028,
Skoda,Superb,43000,2022,Benzine,Automatic,1400,Sedan,"EGP 2,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1029,
MG,MG 6,140000,2020,Benzine,Automatic,1500,Sedan,"EGP 760,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1030,
MG,MG 1,20000,2025,Benzine,Automatic,1500,SUV,"EGP 1,225,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1031,
BMW,520,36000,2023,Benzine,Automatic,1600,Sedan,"EGP 3,060,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1032,
Seat,Ateca,99000,2018,Benzine,Automatic,1400,SUV,"EGP 1,130,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1033,
Kia,Sportage,172000,2020,Benzine,Automatic,1600,SUV,"EGP 1,400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1034,
Chrysler,Neon,120000,2000,Benzine,Automatic,2000,Sedan,"EGP 260,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1035,
BYD,F3,170000,2021,Benzine,Manual,1497,Sedan,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1036,
Toyota,Yaris,300000,2008,Benzine,Manual,1300,Sedan,"EGP 350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1037,
Mitsubishi,Lancer,85000,2017,Benzine,Automatic,1600,Sedan,"EGP 680,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1038,
Lada,2105,340000,1983,Benzine,Manual,1300,Sedan,"EGP 50,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1039,
Seat,Leon,160000,2020,Benzine,Automatic,1600,Hatchback,"EGP 875,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1040,
Renault,Megane,1400,2026,Benzine,Automatic,1600,Sedan,"EGP 1,070,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1041,
Nissan,Qashqai,17000,2025,Benzine,Automatic,1300,SUV,"EGP 1,380,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1042,
Chevrolet,Optra,107000,2008,Benzine,Automatic,1600,Sedan,"EGP 350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1043,
Nissan,Sunny,37000,2022,Benzine,Automatic,1500,Sedan,"EGP 560,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1044,
Bentley,Continental,6800,2021,Benzine,Automatic,4000,Sedan,"EGP 16,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1045,
Renault,Megane,149000,2019,Benzine,Automatic,1600,Sedan,"EGP 690,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1046,
BMW,X1,30000,2024,Benzine,Automatic,1499,SUV,"EGP 2,650,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1047,
Fiat,Uno,20000,2000,Benzine,Manual,1000,Hatchback,"EGP 160,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1048,
Renault,Kadjar,62000,2018,Benzine,Automatic,1200,Hatchback,"EGP 830,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1049,
Skoda,Octavia,250000,2003,Benzine,Automatic,1600,Sedan,"EGP 400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1050,
BMW,320,95000,2018,Benzine,Automatic,2000,Sedan,"EGP 1,650,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1051,
Mercedes-Benz,C180,10000,2024,Benzine,Automatic,,Sedan,"EGP 2,980,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1052,
Hyundai,Other,1,2002,Benzine,Automatic,1500,Hatchback,"EGP 345,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1053,
Kia,Sorento,100000,2019,Benzine,Automatic,3500,SUV,"EGP 1,375,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1054,
Opel,Astra,142000,2014,Benzine,Automatic,,Sedan,"EGP 550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1055,
Hyundai,Accent,1000000,1999,Benzine,Automatic,1500,Sedan,"EGP 184,500",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1056,
Hyundai,Matrix,125000,2006,Benzine,Automatic,1600,Hatchback,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1057,
Kia,Rio,137000,2013,Benzine,Automatic,1600,Hatchback,"EGP 560,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1058,
Suzuki,Pick up,189431,2016,Benzine,Manual,900,Pickup,"EGP 300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1059,
Kia,Cerato,100000,2021,Benzine,Automatic,,Sedan,"EGP 950,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1060,
MG,HS,50000,2021,Benzine,Automatic,1500,SUV,"EGP 1,100,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1061,
Daewoo,Lanos,110000,2008,Benzine,Manual,,Sedan,"EGP 280,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1062,
Ford,Escort,300000,1998,Benzine,Manual,1600,Sedan,"EGP 160,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1063,
Skoda,Fabia,170000,2002,Benzine,Manual,1300,Sedan,"EGP 225,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1064,
Volkswagen,Other,800,2024,Benzine,Automatic,,Hatchback,"EGP 1,600,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1065,
Fiat,Punto,130000,2009,Benzine,Manual,1300,Hatchback,"EGP 235,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1066,
Chevrolet,Spark,85000,2008,Benzine,Manual,1000,Hatchback,"EGP 245,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1067,
Jetour,X95,57000,2022,Benzine,Automatic,1600,SUV,"EGP 1,150,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1068,
Lada,2107,120000,2008,Benzine,Manual,1600,Sedan,"EGP 85,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1069,
Nissan,Sunny,90000,2018,Benzine,Automatic,1600,Sedan,"EGP 530,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1070,
Renault,Logan,220000,2010,Benzine,Manual,1600,Sedan,"EGP 270,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1071,
Hyundai,Tucson,199580,2017,Diesel,Automatic,,SUV,"EGP 1,150,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1072,
BMW,X6 M,25000,2025,Benzine,Automatic,,SUV,"EGP 6,700,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1073,
Hyundai,Excel,300000,1995,Benzine,Manual,1500,Sedan,"EGP 140,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1074,
Peugeot,5008,66000,2021,Benzine,Automatic,1600,Estate,"EGP 1,390,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1075,
Toyota,C-HR,104000,2017,Benzine,Automatic,1200,SUV,"EGP 865,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1076,
Nissan,Sentra,160000,2017,Benzine,Automatic,1600,Sedan,"EGP 618,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1077,
Hyundai,Grand I10,113000,2011,Benzine,Manual,1300,Hatchback,"EGP 345,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1078,
Audi,Q3,7000,2025,Benzine,Automatic,,SUV,"EGP 2,650,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1079,
BMW,520,219000,2017,Benzine,Automatic,2000,Sedan,"EGP 1,550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1080,
Peugeot,504,200000,1972,Natural Gas,Manual,1980,Sedan,"EGP 110,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1081,
Subaru,XV,265000,2019,Benzine,Automatic,1600,SUV,"EGP 950,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1082,
Honda,Civic,220000,2012,Benzine,Automatic,1600,Sedan,"EGP 675,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1083,
Renault,Logan,94500,2016,Benzine,Manual,,Sedan,"EGP 400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1084,
Renault,Kadjar,166000,2019,Benzine,Automatic,1200,SUV,"EGP 775,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1085,
Fiat,127,2000,1985,Benzine,Manual,900,Hatchback,"EGP 21,500",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1086,
Speranza,A113,130000,2012,Benzine,Manual,,,"EGP 220,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1087,
BMW,320,24000,2024,Benzine,Automatic,1600,Sedan,"EGP 2,850,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1088,
Seat,Toledo,108000,2019,Benzine,Automatic,1600,Sedan,"EGP 800,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1089,
Skoda,Octavia,215000,1998,Benzine,Automatic,1600,Sedan,"EGP 390,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1090,
Kia,Soul,140000,2015,Benzine,Automatic,1600,Hatchback,"EGP 790,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1091,
Chevrolet,Lanos,250000,2009,Benzine,Manual,1500,Sedan,"EGP 300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1092,
Honda,City,155000,2016,Benzine,Automatic,1500,Sedan,"EGP 750,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1093,
Renault,Fluence,180000,2016,Benzine,Automatic,1600,Sedan,"EGP 560,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1094,
Opel,Grandland,156000,2022,Benzine,Automatic,1600,SUV,"EGP 1,250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1095,
MG,HS,24500,2025,Benzine,Automatic,1500,SUV,"EGP 1,300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1096,
Hyundai,Tucson,200000,2018,Benzine,Automatic,1600,Hatchback,"EGP 1,100,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1097,
Mercedes-Benz,C200,175000,2019,Benzine,Automatic,1500,Sedan,"EGP 1,880,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1098,
Mitsubishi,Lancer,150000,2015,Benzine,Automatic,1600,Sedan,"EGP 620,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1099,
Mercedes-Benz,S500,110000,2021,Benzine,Automatic,,Sedan,"EGP 6,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1100,
Skoda,Felecia,166000,1997,Benzine,Manual,1600,Hatchback,"EGP 150,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1101,
Mitsubishi,Lancer,221500,1998,Benzine,Manual,1300,Sedan,"EGP 240,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1102,
Mitsubishi,Lancer,250000,1998,Benzine,Manual,1300,Sedan,"EGP 195,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1103,
Fiat,128,859656,1979,Benzine,Manual,1100,Other,"EGP 50,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1104,
Kia,Sportage,198000,2015,Benzine,Automatic,1600,SUV,"EGP 880,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1105,
Kia,Shuma,180000,1999,Benzine,Automatic,1600,Sedan,"EGP 225,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1106,
BMW,320,260000,2010,Benzine,Automatic,2000,Sedan,"EGP 800,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1107,
Kia,Cerato,300,2010,Benzine,Automatic,1600,Sedan,"EGP 530,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1108,
Proton,Saga,150000,2020,Benzine,Automatic,1300,Sedan,"EGP 420,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1109,
Renault,Logan,223000,2013,Benzine,Automatic,1600,Sedan,"EGP 280,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1110,
Speranza,Tiggo,77000,2010,Benzine,Manual,1600,Estate,"EGP 350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1111,
Renault,Logan,175500,2017,Benzine,Automatic,1600,Sedan,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1112,
Chevrolet,Aveo,111000,2015,Benzine,Automatic,,Sedan,"EGP 460,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1113,
Speranza,A516,400,2011,Benzine,Manual,1600,Sedan,"EGP 170,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1114,
Peugeot,3008,128000,2019,Benzine,Automatic,1600,SUV,"EGP 1,150,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1115,
Hyundai,Verna,260000,2008,Natural Gas,Manual,1600,Sedan,"EGP 300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1116,
Renault,Logan,60000,2021,Benzine,Automatic,,Sedan,"EGP 650,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1117,
Mitsubishi,Lancer,70000,2016,Benzine,Automatic,,Sedan,"EGP 720,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1118,
Mercedes-Benz,C200,193000,2009,Benzine,Automatic,2000,Sedan,"EGP 1,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1119,
Nissan,Sunny,38000,2022,Benzine,Automatic,1600,Sedan,"EGP 625,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1120,
Nissan,Sunny,156000,2014,Benzine,Automatic,,Sedan,"EGP 425,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1121,
Chevrolet,Aveo,103000,2015,Benzine,Automatic,1500,Sedan,"EGP 425,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1122,
Opel,Crossland,39000,2021,Benzine,Automatic,1200,SUV,"EGP 850,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1123,
BMW,M3,11000,2024,Benzine,Automatic,,Sedan,"EGP 6,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1124,
Fiat,Siena,27000,2001,Benzine,Manual,1400,Sedan,"EGP 125,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1125,
Jaguar,XF,25000,2015,Benzine,Automatic,2000,Sedan,"EGP 1,350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1126,
Mercedes-Benz,C200,26000,2023,Benzine,Automatic,1500,Sedan,"EGP 3,350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1127,
Audi,Q3,86000,2021,Benzine,Automatic,,SUV,"EGP 1,690,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1128,
Kia,Pride,1,1998,Benzine,Manual,1300,Sedan,"EGP 120,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1129,
Fiat,Tipo,78000,2022,Benzine,Automatic,1600,Sedan,"EGP 900,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1130,
Seat,Cordoba,1,2001,Natural Gas,Manual,1600,Sedan,"EGP 180,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1131,
Hyundai,Atos,222000,2002,Benzine,Manual,1000,Hatchback,"EGP 170,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1132,
Peugeot,407,235000,2007,Benzine,Manual,1800,Sedan,"EGP 360,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1133,
Skoda,Kodiaq,115000,2021,Benzine,Automatic,1400,Estate,"EGP 2,050,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1134,
Alfa Romeo,Giulia,55000,2022,Benzine,Automatic,2000,Sedan,"EGP 2,050,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1135,
